timestamp,intent,example
2025-07-18T09:56:19.564170,Finance,Budgeting
2025-07-18T09:56:19.572052,Finance,Saving
2025-07-18T09:56:19.580033,Finance,Investing
2025-07-18T09:56:19.588038,Finance,Retirement Planning
2025-07-18T09:56:19.596069,Finance,Tax Planning
2025-07-18T09:56:19.603988,Finance,Credit Management
2025-07-18T09:56:19.611983,Finance,Debt Reduction
2025-07-18T09:56:19.619908,Finance,Financial Literacy
2025-07-18T09:56:19.627993,Finance,Insurance
2025-07-18T09:56:19.635989,Finance,Banking
2025-07-18T09:56:19.643959,Finance,Loans
2025-07-18T09:56:19.653768,Finance,Mortgages
2025-07-18T09:56:19.662041,Finance,Credit Cards
2025-07-18T09:56:19.669806,Finance,Interest Rates
2025-07-18T09:56:19.678494,Finance,Financial Planning
2025-07-18T09:56:19.686509,Finance,Wealth Management
2025-07-18T09:56:19.694849,Finance,Estate Planning
2025-07-18T09:56:19.702826,Finance,Trusts
2025-07-18T09:56:19.711017,Finance,Wills
2025-07-18T09:56:19.718949,Finance,Stock Market
2025-07-18T09:56:19.727388,Finance,Bonds
2025-07-18T09:56:19.735346,Finance,Mutual Funds
2025-07-18T09:56:19.743416,Finance,ETFs
2025-07-18T09:56:19.751452,Finance,Options
2025-07-18T09:56:19.759504,Finance,Futures
2025-07-18T09:56:19.767453,Finance,Commodities
2025-07-18T09:56:19.775584,Finance,Forex
2025-07-18T09:56:19.783475,Finance,Cryptocurrency
2025-07-18T09:56:19.791606,Finance,Real Estate Investment
2025-07-18T09:56:19.801381,Finance,Corporate Finance
2025-07-18T09:56:19.809511,Finance,Financial Statements
2025-07-18T09:56:19.817631,Finance,Balance Sheets
2025-07-18T09:56:19.825706,Finance,Income Statements
2025-07-18T09:56:19.834181,Finance,Cash Flow
2025-07-18T09:56:19.842320,Finance,Financial Ratios
2025-07-18T09:56:19.850456,Finance,Valuation
2025-07-18T09:56:19.858579,Finance,Mergers and Acquisitions
2025-07-18T09:56:19.866886,Finance,Private Equity
2025-07-18T09:56:19.875236,Finance,Venture Capital
2025-07-18T09:56:19.884982,Finance,Risk Management
2025-07-18T09:56:19.894262,Finance,Hedging
2025-07-18T09:56:19.902606,Finance,Derivatives
2025-07-18T09:56:19.911661,Finance,Portfolio Management
2025-07-18T09:56:19.920081,Finance,Asset Allocation
2025-07-18T09:56:19.930555,Finance,Financial Modeling
2025-07-18T09:56:19.946045,Finance,Forecasting
2025-07-18T09:56:19.967591,Finance,Budget Analysis
2025-07-18T09:56:19.979474,Finance,Cost Accounting
2025-07-18T09:56:19.988698,Finance,Auditing
2025-07-18T09:56:19.998778,Education,Curriculum Development
2025-07-18T09:56:20.007734,Education,Instructional Design
2025-07-18T09:56:20.016728,Education,Classroom Management
2025-07-18T09:56:20.026956,Education,Assessment
2025-07-18T09:56:20.036096,Education,Educational Technology
2025-07-18T09:56:20.044738,Education,Online Learning
2025-07-18T09:56:20.053476,Education,Blended Learning
2025-07-18T09:56:20.063954,Education,STEM Education
2025-07-18T09:56:20.074766,Education,Special Education
2025-07-18T09:56:20.085928,Education,Gifted Education
2025-07-18T09:56:20.095003,Education,Early Childhood Education
2025-07-18T09:56:20.103671,Education,Primary Education
2025-07-18T09:56:20.112860,Education,Secondary Education
2025-07-18T09:56:20.121738,Education,Higher Education
2025-07-18T09:56:20.130679,Education,Adult Education
2025-07-18T09:56:20.139091,Education,Vocational Training
2025-07-18T09:56:20.147827,Education,Teacher Training
2025-07-18T09:56:20.156319,Education,Professional Development
2025-07-18T09:56:20.164822,Education,Educational Leadership
2025-07-18T09:56:20.173605,Education,School Administration
2025-07-18T09:56:20.182348,Education,Education Policy
2025-07-18T09:56:20.203063,Education,Education Law
2025-07-18T09:56:20.215148,Education,Inclusive Education
2025-07-18T09:56:20.224639,Education,Multicultural Education
2025-07-18T09:56:20.233944,Education,Language Acquisition
2025-07-18T09:56:20.242746,Education,Literacy
2025-07-18T09:56:20.251648,Education,Numeracy
2025-07-18T09:56:20.261042,Education,Critical Thinking
2025-07-18T09:56:20.269682,Education,Problem-Based Learning
2025-07-18T09:56:20.278805,Education,Project-Based Learning
2025-07-18T09:56:20.287798,Education,Flipped Classroom
2025-07-18T09:56:20.297269,Education,Gamification
2025-07-18T09:56:20.306472,Education,EdTech Tools
2025-07-18T09:56:20.315742,Education,Learning Analytics
2025-07-18T09:56:20.324877,Education,Student Engagement
2025-07-18T09:56:20.334082,Education,Parent Involvement
2025-07-18T09:56:20.342991,Education,Peer Tutoring
2025-07-18T09:56:20.351790,Education,Mentoring
2025-07-18T09:56:20.360628,Education,Career Counseling
2025-07-18T09:56:20.369330,Education,Academic Advising
2025-07-18T09:56:20.377818,Education,Standardized Testing
2025-07-18T09:56:20.386350,Education,Formative Assessment
2025-07-18T09:56:20.394933,Education,Summative Assessment
2025-07-18T09:56:20.403262,Education,Grading
2025-07-18T09:56:20.411797,Education,Feedback
2025-07-18T09:56:20.420915,Education,Learning Styles
2025-07-18T09:56:20.429909,Education,Differentiated Instruction
2025-07-18T09:56:20.438894,Education,Collaborative Learning
2025-07-18T09:56:20.447709,Education,Distance Education
2025-07-18T09:56:20.456282,Education,MOOCs
2025-07-18T09:56:20.465873,Environment,Climate Change
2025-07-18T09:56:20.474686,Environment,Global Warming
2025-07-18T09:56:20.483703,Environment,Carbon Footprint
2025-07-18T09:56:20.493148,Environment,Greenhouse Gases
2025-07-18T09:56:20.501906,Environment,Renewable Energy
2025-07-18T09:56:20.510909,Environment,Solar Power
2025-07-18T09:56:20.519745,Environment,Wind Power
2025-07-18T09:56:20.528843,Environment,Hydropower
2025-07-18T09:56:20.537338,Environment,Geothermal Energy
2025-07-18T09:56:20.545940,Environment,Bioenergy
2025-07-18T09:56:20.554315,Environment,Conservation
2025-07-18T09:56:20.562865,Environment,Wildlife Protection
2025-07-18T09:56:20.571279,Environment,Endangered Species
2025-07-18T09:56:20.579744,Environment,Habitat Restoration
2025-07-18T09:56:20.588372,Environment,Reforestation
2025-07-18T09:56:20.597163,Environment,Deforestation
2025-07-18T09:56:20.606174,Environment,Biodiversity
2025-07-18T09:56:20.614796,Environment,Ecosystems
2025-07-18T09:56:20.623284,Environment,Marine Conservation
2025-07-18T09:56:20.631825,Environment,Ocean Cleanup
2025-07-18T09:56:20.640394,Environment,Pollution
2025-07-18T09:56:20.648944,Environment,Air Pollution
2025-07-18T09:56:20.657482,Environment,Water Pollution
2025-07-18T09:56:20.665968,Environment,Soil Pollution
2025-07-18T09:56:20.674566,Environment,Plastic Pollution
2025-07-18T09:56:20.683200,Environment,Recycling
2025-07-18T09:56:20.691924,Environment,Waste Management
2025-07-18T09:56:20.700630,Environment,Composting
2025-07-18T09:56:20.709227,Environment,E-Waste
2025-07-18T09:56:20.717995,Environment,Sustainable Living
2025-07-18T09:56:20.726748,Environment,Environmental Policy
2025-07-18T09:56:20.735569,Environment,Paris Agreement
2025-07-18T09:56:20.744414,Environment,Environmental Laws
2025-07-18T09:56:20.754615,Environment,EPA
2025-07-18T09:56:20.769505,Environment,Carbon Tax
2025-07-18T09:56:20.793405,Environment,Cap and Trade
2025-07-18T09:56:20.805596,Environment,Green New Deal
2025-07-18T09:56:20.815074,Environment,Environmental Activism
2025-07-18T09:56:20.823797,Environment,Eco-Friendly Products
2025-07-18T09:56:20.832575,Environment,Green Building
2025-07-18T09:56:20.841420,Environment,Natural Disasters
2025-07-18T09:56:20.850120,Environment,Earthquakes
2025-07-18T09:56:20.858837,Environment,Floods
2025-07-18T09:56:20.867410,Environment,Hurricanes
2025-07-18T09:56:20.876149,Environment,Wildfires
2025-07-18T09:56:20.884731,Environment,Droughts
2025-07-18T09:56:20.893457,Environment,Tsunamis
2025-07-18T09:56:20.902716,Environment,Disaster Preparedness
2025-07-18T09:56:20.911485,Environment,Emergency Response
2025-07-18T09:56:20.920240,Environment,Climate Resilience
2025-07-18T09:56:20.929128,Politics,Elections
2025-07-18T09:56:20.937836,Politics,Voting
2025-07-18T09:56:20.946569,Politics,Campaigns
2025-07-18T09:56:20.955306,Politics,Political Parties
2025-07-18T09:56:20.964002,Politics,Democracy
2025-07-18T09:56:20.972613,Politics,Republicanism
2025-07-18T09:56:20.981379,Politics,Parliamentary Systems
2025-07-18T09:56:20.990165,Politics,Constitutions
2025-07-18T09:56:20.998843,Politics,Legislation
2025-07-18T09:56:21.007551,Politics,Bills
2025-07-18T09:56:21.016365,Politics,Government
2025-07-18T09:56:21.025295,Politics,Executive Branch
2025-07-18T09:56:21.034028,Politics,Legislative Branch
2025-07-18T09:56:21.042865,Politics,Judicial Branch
2025-07-18T09:56:21.051632,Politics,Federalism
2025-07-18T09:56:21.060451,Politics,Local Government
2025-07-18T09:56:21.069214,Politics,Public Policy
2025-07-18T09:56:21.078038,Politics,Lobbying
2025-07-18T09:56:21.086717,Politics,Interest Groups
2025-07-18T09:56:21.095650,Politics,Political Activism
2025-07-18T09:56:21.104374,Politics,International Relations
2025-07-18T09:56:21.113270,Politics,Diplomacy
2025-07-18T09:56:21.121973,Politics,Treaties
2025-07-18T09:56:21.130878,Politics,United Nations
2025-07-18T09:56:21.139636,Politics,NATO
2025-07-18T09:56:21.148506,Politics,Trade Agreements
2025-07-18T09:56:21.157267,Politics,Sanctions
2025-07-18T09:56:21.166181,Politics,Foreign Aid
2025-07-18T09:56:21.174993,Politics,Embassies
2025-07-18T09:56:21.183876,Politics,Consulates
2025-07-18T09:56:21.192881,Politics,Political Ideologies
2025-07-18T09:56:21.201951,Politics,Liberalism
2025-07-18T09:56:21.211383,Politics,Conservatism
2025-07-18T09:56:21.223009,Politics,Socialism
2025-07-18T09:56:21.231872,Politics,Communism
2025-07-18T09:56:21.241448,Politics,Libertarianism
2025-07-18T09:56:21.250314,Politics,Populism
2025-07-18T09:56:21.270027,Politics,Nationalism
2025-07-18T09:56:21.289667,Politics,Progressivism
2025-07-18T09:56:21.303023,Politics,Environmentalism
2025-07-18T09:56:21.322418,Politics,Civil Rights
2025-07-18T09:56:21.336317,Politics,Human Rights
2025-07-18T09:56:21.346639,Politics,Freedom of Speech
2025-07-18T09:56:21.356388,Politics,Freedom of Religion
2025-07-18T09:56:21.365697,Politics,Gender Equality
2025-07-18T09:56:21.374637,Politics,Racial Equality
2025-07-18T09:56:21.384587,Politics,LGBTQ+ Rights
2025-07-18T09:56:21.393810,Politics,Voting Rights
2025-07-18T09:56:21.402959,Politics,Immigration
2025-07-18T09:56:21.413108,Politics,Refugees
2025-07-18T09:56:21.424395,Business,Entrepreneurship
2025-07-18T09:56:21.435884,Business,Business Strategy
2025-07-18T09:56:21.448202,Business,Marketing
2025-07-18T09:56:21.457997,Business,Sales
2025-07-18T09:56:21.469978,Business,Finance
2025-07-18T09:56:21.485718,Business,Accounting
2025-07-18T09:56:21.510662,Business,Operations Management
2025-07-18T09:56:21.523552,Business,Human Resources
2025-07-18T09:56:21.536950,Business,Leadership
2025-07-18T09:56:21.546991,Business,Organizational Behavior
2025-07-18T09:56:21.558234,Business,Business Ethics
2025-07-18T09:56:21.569262,Business,Corporate Social Responsibility
2025-07-18T09:56:21.583577,Business,Business Law
2025-07-18T09:56:21.605845,Business,Business Analytics
2025-07-18T09:56:21.607199,Business,Data-Driven Decision Making
2025-07-18T09:56:21.617886,Business,Supply Chain Management
2025-07-18T09:56:21.627623,Business,Logistics
2025-07-18T09:56:21.637556,Business,E-Commerce
2025-07-18T09:56:21.647255,Business,Digital Marketing
2025-07-18T09:56:21.656587,Business,Brand Management
2025-07-18T09:56:21.665808,Business,Market Research
2025-07-18T09:56:21.675040,Business,Product Development
2025-07-18T09:56:21.684053,Business,Customer Relationship Management
2025-07-18T09:56:21.693056,Business,Negotiation
2025-07-18T09:56:21.704727,Business,Business Communication
2025-07-18T09:56:21.714009,Business,Presentation Skills
2025-07-18T09:56:21.723144,Business,Public Relations
2025-07-18T09:56:21.732225,Business,Investor Relations
2025-07-18T09:56:21.797734,Business,Change Management
2025-07-18T09:56:21.799455,Business,Project Management
2025-07-18T09:56:21.812511,Business,Agile Methodologies
2025-07-18T09:56:21.836236,Business,Lean Management
2025-07-18T09:56:21.848307,Business,Six Sigma
2025-07-18T09:56:21.866993,Business,Business Process Improvement
2025-07-18T09:56:21.879426,Business,Startups
2025-07-18T09:56:21.907703,Business,Angel Investing
2025-07-18T09:56:21.909405,Business,Business Incubators
2025-07-18T09:56:21.920261,Business,Franchising
2025-07-18T09:56:21.932615,Business,International Business
2025-07-18T09:56:21.944029,Business,Export/Import
2025-07-18T09:56:21.953585,Business,Business Expansion
2025-07-18T09:56:21.966303,Business,Business Planning
2025-07-18T09:56:21.986596,Business,Business Intelligence
2025-07-18T09:56:21.987847,Entertainment,Movies
2025-07-18T09:56:21.999554,Entertainment,Film Genres
2025-07-18T09:56:22.012278,Entertainment,Directors
2025-07-18T09:56:22.022919,Entertainment,Actors
2025-07-18T09:56:22.039955,Entertainment,Screenwriting
2025-07-18T09:56:22.052012,Entertainment,Film Festivals
2025-07-18T09:56:22.061441,Entertainment,Movie Reviews
2025-07-18T09:56:22.070580,Entertainment,Box Office
2025-07-18T09:56:22.079843,Entertainment,Streaming Services
2025-07-18T09:56:22.088879,Entertainment,Documentaries
2025-07-18T09:56:22.097963,Entertainment,Television
2025-07-18T09:56:22.107463,Entertainment,TV Shows
2025-07-18T09:56:22.116370,Entertainment,Sitcoms
2025-07-18T09:56:22.128828,Entertainment,Dramas
2025-07-18T09:56:22.137817,Entertainment,Reality TV
2025-07-18T09:56:22.147397,Entertainment,Game Shows
2025-07-18T09:56:22.156708,Entertainment,Talk Shows
2025-07-18T09:56:22.166545,Entertainment,TV Networks
2025-07-18T09:56:22.175960,Entertainment,Streaming Platforms
2025-07-18T09:56:22.185345,Entertainment,TV Ratings
2025-07-18T09:56:22.194762,Entertainment,Music
2025-07-18T09:56:22.204082,Entertainment,Genres
2025-07-18T09:56:22.213923,Entertainment,Artists
2025-07-18T09:56:22.222989,Entertainment,Bands
2025-07-18T09:56:22.232529,Entertainment,Albums
2025-07-18T09:56:22.242559,Entertainment,Concerts
2025-07-18T09:56:22.254024,Entertainment,Music Festivals
2025-07-18T09:56:22.265824,Entertainment,Songwriting
2025-07-18T09:56:22.281686,Entertainment,Music Production
2025-07-18T09:56:22.292945,Entertainment,Music Awards
2025-07-18T09:56:22.302956,Entertainment,Theater
2025-07-18T09:56:22.314884,Entertainment,Plays
2025-07-18T09:56:22.325460,Entertainment,Musicals
2025-07-18T09:56:22.335819,Entertainment,Broadway
2025-07-18T09:56:22.346262,Entertainment,Off-Broadway
2025-07-18T09:56:22.355825,Entertainment,Stage Acting
2025-07-18T09:56:22.366229,Entertainment,Set Design
2025-07-18T09:56:22.376343,Entertainment,Costume Design
2025-07-18T09:56:22.385537,Entertainment,Theater Festivals
2025-07-18T09:56:22.395911,Entertainment,Improv
2025-07-18T09:56:22.405458,Entertainment,Gaming
2025-07-18T09:56:22.415461,Entertainment,Video Games
2025-07-18T09:56:22.425618,Entertainment,Esports
2025-07-18T09:56:22.435891,Entertainment,Game Development
2025-07-18T09:56:22.445942,Entertainment,Game Design
2025-07-18T09:56:22.454989,Entertainment,Board Games
2025-07-18T09:56:22.465487,Entertainment,Tabletop RPGs
2025-07-18T09:56:22.475530,Entertainment,Card Games
2025-07-18T09:56:22.485244,Entertainment,Mobile Games
2025-07-18T09:56:22.495509,Entertainment,Game Streaming
2025-07-18T09:56:22.505176,Science,Physics
2025-07-18T09:56:22.524574,Science,Classical Mechanics
2025-07-18T09:56:22.533925,Science,Quantum Physics
2025-07-18T09:56:22.543647,Science,Relativity
2025-07-18T09:56:22.552561,Science,Thermodynamics
2025-07-18T09:56:22.562623,Science,Optics
2025-07-18T09:56:22.571592,Science,Acoustics
2025-07-18T09:56:22.581282,Science,Particle Physics
2025-07-18T09:56:22.590685,Science,Astrophysics
2025-07-18T09:56:22.600348,Science,Nuclear Physics
2025-07-18T09:56:22.609985,Science,Chemistry
2025-07-18T09:56:22.619312,Science,Organic Chemistry
2025-07-18T09:56:22.628609,Science,Inorganic Chemistry
2025-07-18T09:56:22.637846,Science,Physical Chemistry
2025-07-18T09:56:22.648005,Science,Analytical Chemistry
2025-07-18T09:56:22.660300,Science,Biochemistry
2025-07-18T09:56:22.674186,Science,Chemical Engineering
2025-07-18T09:56:22.687371,Science,Polymers
2025-07-18T09:56:22.705664,Science,Nanotechnology
2025-07-18T09:56:22.720386,Science,Materials Science
2025-07-18T09:56:22.732935,Science,Biology
2025-07-18T09:56:22.744781,Science,Genetics
2025-07-18T09:56:22.754344,Science,Molecular Biology
2025-07-18T09:56:22.768142,Science,Cell Biology
2025-07-18T09:56:22.780601,Science,Evolution
2025-07-18T09:56:22.793426,Science,Ecology
2025-07-18T09:56:22.804161,Science,Microbiology
2025-07-18T09:56:22.814398,Science,Botany
2025-07-18T09:56:22.823733,Science,Zoology
2025-07-18T09:56:22.833849,Science,Marine Biology
2025-07-18T09:56:22.844192,Science,Earth Science
2025-07-18T09:56:22.856074,Science,Geology
2025-07-18T09:56:22.866274,Science,Meteorology
2025-07-18T09:56:22.876667,Science,Oceanography
2025-07-18T09:56:22.885883,Science,Paleontology
2025-07-18T09:56:22.896158,Science,Seismology
2025-07-18T09:56:22.905255,Science,Volcanology
2025-07-18T09:56:22.914699,Science,Hydrology
2025-07-18T09:56:22.924642,Science,Climatology
2025-07-18T09:56:22.933675,Science,Environmental Science
2025-07-18T09:56:22.942879,Science,Space Science
2025-07-18T09:56:22.951700,Science,Astronomy
2025-07-18T09:56:22.960560,Science,Cosmology
2025-07-18T09:56:22.969393,Science,Space Exploration
2025-07-18T09:56:22.978268,Science,Planets
2025-07-18T09:56:22.988708,Science,Stars
2025-07-18T09:56:23.001772,Science,Galaxies
2025-07-18T09:56:23.014048,Science,Black Holes
2025-07-18T09:56:23.026779,Science,Telescopes
2025-07-18T09:56:23.038491,Science,Space Missions
2025-07-18T09:56:23.049663,History,Ancient History
2025-07-18T09:56:23.062536,History,Egypt
2025-07-18T09:56:23.077027,History,Greece
2025-07-18T09:56:23.088287,History,Rome
2025-07-18T09:56:23.102174,History,Mesopotamia
2025-07-18T09:56:23.113844,History,Indus Valley
2025-07-18T09:56:23.126259,History,China
2025-07-18T09:56:23.136062,History,Mesoamerica
2025-07-18T09:56:23.147242,History,Persia
2025-07-18T09:56:23.156310,History,Phoenicia
2025-07-18T09:56:23.168846,History,Medieval History
2025-07-18T09:56:23.179439,History,Feudalism
2025-07-18T09:56:23.188367,History,Crusades
2025-07-18T09:56:23.197921,History,Byzantine Empire
2025-07-18T09:56:23.207092,History,Vikings
2025-07-18T09:56:23.217057,History,Mongol Empire
2025-07-18T09:56:23.226631,History,Black Death
2025-07-18T09:56:23.235892,History,Hundred Years' War
2025-07-18T09:56:23.246007,History,Renaissance
2025-07-18T09:56:23.254973,History,Ottoman Empire
2025-07-18T09:56:23.264874,History,Modern History
2025-07-18T09:56:23.274268,History,Industrial Revolution
2025-07-18T09:56:23.283334,History,World War I
2025-07-18T09:56:23.292916,History,World War II
2025-07-18T09:56:23.302152,History,Cold War
2025-07-18T09:56:23.311644,History,Civil Rights Movement
2025-07-18T09:56:23.320553,History,Decolonization
2025-07-18T09:56:23.330308,History,Vietnam War
2025-07-18T09:56:23.339743,History,Space Race
2025-07-18T09:56:23.349261,History,Globalization
2025-07-18T09:56:23.358782,History,Historical Figures
2025-07-18T09:56:23.368007,History,Leaders
2025-07-18T09:56:23.377479,History,Inventors
2025-07-18T09:56:23.386380,History,Explorers
2025-07-18T09:56:23.404304,History,Scientists
2025-07-18T09:56:23.405681,History,Philosophers
2025-07-18T09:56:23.414887,History,Revolutionaries
2025-07-18T09:56:23.424812,History,Monarchs
2025-07-18T09:56:23.434252,History,Presidents
2025-07-18T09:56:23.443516,History,Historical Events
2025-07-18T09:56:23.452487,History,Battles
2025-07-18T09:56:23.461620,History,Revolutions
2025-07-18T09:56:23.479394,History,Discoveries
2025-07-18T09:56:23.480739,History,Inventions
2025-07-18T09:56:23.490247,History,Cultural Movements
2025-07-18T09:56:23.499331,History,Social Changes
2025-07-18T09:56:23.508397,History,Economic Crises
2025-07-18T09:56:23.517296,History,Political Upheavals
2025-07-18T09:56:23.526505,Art,Painting
2025-07-18T09:56:23.535385,Art,Oil Painting
2025-07-18T09:56:23.544398,Art,Watercolor
2025-07-18T09:56:23.553354,Art,Acrylic
2025-07-18T09:56:23.562354,Art,Digital Art
2025-07-18T09:56:23.571289,Art,Portraits
2025-07-18T09:56:23.580272,Art,Landscapes
2025-07-18T09:56:23.589068,Art,Still Life
2025-07-18T09:56:23.598230,Art,Abstract Art
2025-07-18T09:56:23.607268,Art,Realism
2025-07-18T09:56:23.618039,Art,Sculpture
2025-07-18T09:56:23.627277,Art,Clay
2025-07-18T09:56:23.636168,Art,Stone
2025-07-18T09:56:23.645728,Art,Metal
2025-07-18T09:56:23.654886,Art,Wood
2025-07-18T09:56:23.664127,Art,3D Printing
2025-07-18T09:56:23.672988,Art,Installation Art
2025-07-18T09:56:23.682056,Art,Kinetic Art
2025-07-18T09:56:23.691013,Art,Public Art
2025-07-18T09:56:23.700095,Art,Monuments
2025-07-18T09:56:23.709199,Art,Photography
2025-07-18T09:56:23.718210,Art,Portrait Photography
2025-07-18T09:56:23.727371,Art,Landscape Photography
2025-07-18T09:56:23.736290,Art,Street Photography
2025-07-18T09:56:23.745334,Art,Wildlife Photography
2025-07-18T09:56:23.754229,Art,Macro Photography
2025-07-18T09:56:23.763261,Art,Photo Editing
2025-07-18T09:56:23.772455,Art,Darkroom
2025-07-18T09:56:23.781431,Art,Digital Photography
2025-07-18T09:56:23.790452,Art,Photojournalism
2025-07-18T09:56:23.799467,Art,Drawing
2025-07-18T09:56:23.808555,Art,Sketching
2025-07-18T09:56:23.817516,Art,Charcoal
2025-07-18T09:56:23.826546,Art,Ink
2025-07-18T09:56:23.835644,Art,Comics
2025-07-18T09:56:23.844818,Art,Cartoons
2025-07-18T09:56:23.853901,Art,Illustration
2025-07-18T09:56:23.862966,Art,Manga
2025-07-18T09:56:23.872909,Art,Graphic Novels
2025-07-18T09:56:23.882731,Art,Storyboard
2025-07-18T09:56:23.892403,Art,Art History
2025-07-18T09:56:23.910464,Art,Baroque
2025-07-18T09:56:23.911964,Art,Impressionism
2025-07-18T09:56:23.920966,Art,Cubism
2025-07-18T09:56:23.930062,Art,Surrealism
2025-07-18T09:56:23.939092,Art,Modernism
2025-07-18T09:56:23.948284,Art,Contemporary Art
2025-07-18T09:56:23.957459,Art,Art Criticism
2025-07-18T09:56:23.966807,Art,Art Exhibitions
2025-07-18T09:56:23.984421,Music,Classical
2025-07-18T09:56:23.985924,Music,Jazz
2025-07-18T09:56:23.995039,Music,Rock
2025-07-18T09:56:24.004309,Music,Pop
2025-07-18T09:56:24.013644,Music,Hip-Hop
2025-07-18T09:56:24.022783,Music,Country
2025-07-18T09:56:24.031992,Music,Electronic
2025-07-18T09:56:24.041123,Music,Blues
2025-07-18T09:56:24.050264,Music,Reggae
2025-07-18T09:56:24.059839,Music,Folk
2025-07-18T09:56:24.069017,Music,Instruments
2025-07-18T09:56:24.078685,Music,Piano
2025-07-18T09:56:24.090480,Music,Guitar
2025-07-18T09:56:24.101747,Music,Violin
2025-07-18T09:56:24.111767,Music,Drums
2025-07-18T09:56:24.121049,Music,Saxophone
2025-07-18T09:56:24.130331,Music,Flute
2025-07-18T09:56:24.141885,Music,Trumpet
2025-07-18T09:56:24.151630,Music,Cello
2025-07-18T09:56:24.162089,Music,Bass
2025-07-18T09:56:24.171729,Music,Synthesizer
2025-07-18T09:56:24.182107,Music,Music Theory
2025-07-18T09:56:24.192852,Music,Harmony
2025-07-18T09:56:24.203055,Music,Melody
2025-07-18T09:56:24.212741,Music,Rhythm
2025-07-18T09:56:24.222491,Music,Chord Progressions
2025-07-18T09:56:24.231663,Music,Scales
2025-07-18T09:56:24.240845,Music,Modes
2025-07-18T09:56:24.250071,Music,Ear Training
2025-07-18T09:56:24.259305,Music,Sight Reading
2025-07-18T09:56:24.269202,Music,Improvisation
2025-07-18T09:56:24.286836,Music,Recording
